,class,cap-shape,cap-surface,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,population,habitat
41,0,5,3,9,1,3,1,0,0,5,0,4,2,3,7,7,0,2,1,4,2,5,4
42,0,5,0,4,0,5,1,0,1,2,0,3,2,2,7,7,0,2,1,4,2,5,5
43,1,5,3,8,1,6,1,0,1,7,0,3,2,2,7,7,0,2,1,4,3,4,1
44,0,5,2,9,1,0,1,0,0,10,0,2,2,2,7,7,0,2,1,4,2,2,3
45,0,5,3,8,1,0,1,0,0,5,0,2,2,2,7,7,0,2,1,4,3,2,1
46,0,5,3,9,1,3,1,0,0,4,0,2,2,2,7,7,0,2,1,4,2,3,3
47,0,5,2,8,1,3,1,0,0,10,0,2,2,2,7,7,0,2,1,4,3,2,3
48,0,5,3,9,1,3,1,0,0,5,0,4,2,3,7,7,0,2,1,4,3,3,4
49,0,2,3,9,1,3,1,0,0,10,0,4,2,3,7,7,0,2,1,4,2,3,4
50,0,5,3,4,1,0,1,0,0,10,0,4,2,3,7,7,0,2,1,4,2,3,1
51,0,5,2,8,1,3,1,0,0,4,0,2,2,2,7,7,0,2,1,4,2,3,1
52,0,0,2,8,1,3,1,0,0,4,0,2,2,2,7,7,0,2,1,4,3,2,3
53,1,5,3,4,1,6,1,0,1,4,0,3,2,2,7,7,0,2,1,4,3,4,5
54,1,5,2,8,1,6,1,0,1,4,0,3,2,2,7,7,0,2,1,4,2,4,5
55,0,0,3,9,1,0,1,0,0,10,0,2,2,2,7,7,0,2,1,4,2,3,3
56,0,2,0,3,0,5,1,1,0,5,1,3,2,2,7,7,0,2,1,0,3,0,1
57,0,0,2,8,1,0,1,0,0,10,0,2,2,2,7,7,0,2,1,4,3,2,1
58,0,5,2,9,1,3,1,0,0,4,0,2,2,2,7,7,0,2,1,4,2,2,1
59,0,5,3,4,1,0,1,0,0,7,0,4,2,3,7,7,0,2,1,4,2,5,4
60,0,4,0,3,0,5,1,0,1,4,0,3,2,2,7,7,0,2,1,4,3,4,5
61,0,0,3,9,1,0,1,0,0,4,0,2,2,2,7,7,0,2,1,4,3,3,3
62,0,0,2,9,1,3,1,0,0,2,0,2,2,2,7,7,0,2,1,4,3,3,3
63,0,0,3,9,1,3,1,0,0,2,0,2,2,2,7,7,0,2,1,4,3,2,3
64,0,0,3,8,1,3,1,0,0,5,0,2,2,2,7,7,0,2,1,4,3,3,1
65,0,2,2,4,0,5,1,1,0,4,1,3,2,2,7,7,0,2,1,0,2,0,1
66,0,5,2,8,1,3,1,0,0,5,0,2,2,2,7,7,0,2,1,4,2,3,1
67,0,2,3,9,1,0,1,0,0,10,0,4,2,3,7,7,0,2,1,4,3,3,1
68,0,5,3,9,1,0,1,0,0,10,0,2,2,2,7,7,0,2,1,4,2,2,1
69,0,5,0,3,0,5,1,0,1,7,0,3,2,2,7,7,0,2,1,4,3,4,5
70,0,2,0,9,1,3,1,1,1,7,1,1,2,2,7,7,0,2,1,4,3,4,0
71,0,0,3,8,1,3,1,0,0,2,0,2,2,2,7,7,0,2,1,4,3,3,3
72,0,2,0,9,1,3,1,1,1,10,1,1,2,2,7,7,0,2,1,4,3,4,0
73,0,5,3,4,1,0,1,0,0,7,0,4,2,3,7,7,0,2,1,4,2,3,4
74,0,0,2,9,1,0,1,0,0,4,0,2,2,2,7,7,0,2,1,4,2,3,1
75,0,2,2,9,1,3,1,1,1,7,1,1,2,2,7,7,0,2,1,4,3,4,0
76,0,5,2,8,1,3,1,1,1,5,1,1,2,2,7,7,0,2,1,4,6,4,0
77,0,2,3,4,1,3,1,0,0,7,0,4,2,3,7,7,0,2,1,4,3,5,4
78,1,5,3,4,1,6,1,0,1,10,0,3,2,2,7,7,0,2,1,4,3,4,5
79,0,2,3,4,1,0,1,0,0,5,0,4,2,3,7,7,0,2,1,4,3,5,1
80,0,5,2,4,0,5,1,1,0,4,1,3,0,2,7,7,0,2,1,0,3,3,1
81,1,5,3,8,1,6,1,0,1,10,0,3,2,2,7,7,0,2,1,4,2,3,1
82,0,2,0,3,0,5,1,0,1,5,0,3,2,2,7,7,0,2,1,4,3,5,5
83,0,5,0,3,0,5,1,1,0,5,1,3,2,2,7,7,0,2,1,0,3,3,1
84,0,5,3,9,1,3,1,0,0,10,0,4,2,3,7,7,0,2,1,4,2,3,1
85,0,5,2,4,0,5,1,1,0,4,1,3,2,2,7,7,0,2,1,0,2,3,1
86,0,0,2,8,1,0,1,0,0,10,0,2,2,2,7,7,0,2,1,4,2,3,1
87,0,5,2,8,1,3,1,0,0,5,0,2,2,2,7,7,0,2,1,4,3,3,1
88,0,2,3,4,1,3,1,0,0,10,0,4,2,3,7,7,0,2,1,4,2,5,1
89,0,4,0,4,0,5,1,0,1,5,0,3,2,2,7,7,0,2,1,4,3,4,5
90,0,5,0,4,0,5,1,0,1,5,0,3,2,2,7,7,0,2,1,4,3,5,5
91,0,0,2,8,1,3,1,0,0,4,0,2,2,2,7,7,0,2,1,4,2,3,1
92,0,5,3,9,1,0,1,0,0,2,0,2,2,2,7,7,0,2,1,4,2,3,1
93,0,5,3,9,1,3,1,0,0,2,0,2,2,2,7,7,0,2,1,4,2,2,3
94,0,5,2,4,0,5,1,1,0,5,1,3,2,2,7,7,0,2,1,0,3,0,1
95,0,5,2,8,1,0,1,0,0,2,0,2,2,2,7,7,0,2,1,4,3,3,1
96,0,2,3,4,1,3,1,0,0,7,0,4,2,3,7,7,0,2,1,4,3,3,1
97,0,5,2,9,1,0,1,0,0,5,0,2,2,2,7,7,0,2,1,4,2,2,1
98,0,0,2,8,1,0,1,0,0,2,0,2,2,2,7,7,0,2,1,4,3,3,1
99,0,5,3,8,1,0,1,0,0,2,0,2,2,2,7,7,0,2,1,4,2,3,1
100,0,5,0,4,0,5,1,1,0,7,1,3,0,2,7,7,0,2,1,0,2,3,1
101,0,0,2,9,1,3,1,0,0,5,0,2,2,2,7,7,0,2,1,4,2,2,1
102,0,2,3,9,1,3,1,0,0,10,0,4,2,3,7,7,0,2,1,4,3,3,1
103,0,5,3,9,1,0,1,0,0,5,0,4,2,3,7,7,0,2,1,4,2,5,4
104,0,0,3,8,1,3,1,0,0,2,0,2,2,2,7,7,0,2,1,4,3,2,1
105,0,5,3,9,1,0,1,0,0,5,0,2,2,2,7,7,0,2,1,4,2,2,3
106,0,5,3,9,1,0,1,0,0,10,0,4,2,3,7,7,0,2,1,4,3,5,1
107,0,0,3,8,1,3,1,0,0,5,0,2,2,2,7,7,0,2,1,4,2,3,3
108,0,0,3,8,1,0,1,0,0,2,0,2,2,2,7,7,0,2,1,4,3,3,3
109,0,5,2,9,1,0,1,0,0,4,0,2,2,2,7,7,0,2,1,4,2,2,3
110,0,5,2,9,1,3,1,0,0,10,0,2,2,2,7,7,0,2,1,4,2,2,1
111,0,4,0,3,0,5,1,0,1,2,0,3,2,2,7,7,0,2,1,4,2,5,5
112,0,5,0,8,1,0,1,1,1,10,1,1,2,2,7,7,0,2,1,4,6,4,0
113,0,5,2,9,1,0,1,0,0,5,0,2,2,2,7,7,0,2,1,4,2,2,3
114,1,5,3,8,1,6,1,0,1,5,0,3,2,2,7,7,0,2,1,4,3,4,5
115,0,5,3,9,1,3,1,0,0,7,0,4,2,3,7,7,0,2,1,4,3,3,1
116,0,4,0,3,0,5,1,0,1,7,0,3,2,2,7,7,0,2,1,4,3,5,5
117,0,5,3,9,1,3,1,0,0,10,0,4,2,3,7,7,0,2,1,4,2,5,1
118,0,5,2,9,1,3,1,1,1,7,1,1,2,2,7,7,0,2,1,4,6,4,0
119,0,4,0,4,0,5,1,0,1,4,0,3,2,2,7,7,0,2,1,4,3,5,5
120,1,5,2,8,1,6,1,0,1,4,0,3,2,2,7,7,0,2,1,4,2,4,1
121,0,5,3,8,1,0,1,0,0,2,0,2,2,2,7,7,0,2,1,4,3,2,3
122,1,2,3,4,1,6,1,0,1,7,0,3,2,2,7,7,0,2,1,4,2,4,1
123,0,2,2,3,0,5,1,1,0,4,1,3,2,2,7,7,0,2,1,0,3,0,1
124,0,5,2,9,1,3,1,0,0,2,0,2,2,2,7,7,0,2,1,4,3,3,3
125,0,5,2,8,0,5,1,1,0,5,1,3,2,0,7,7,0,2,1,0,2,3,1
126,0,0,2,9,1,0,1,0,0,10,0,2,2,2,7,7,0,2,1,4,3,2,1
127,0,2,0,3,0,5,1,1,0,3,1,3,2,2,7,7,0,2,1,0,3,0,1
128,0,5,2,8,1,3,1,0,0,5,0,2,2,2,7,7,0,2,1,4,2,2,1
129,0,0,2,8,1,3,1,0,0,5,0,2,2,2,7,7,0,2,1,4,3,3,3
130,0,0,2,8,1,3,1,0,0,10,0,2,2,2,7,7,0,2,1,4,3,3,1
131,0,0,3,8,1,3,1,0,0,10,0,2,2,2,7,7,0,2,1,4,3,3,3
132,0,2,2,8,1,3,1,1,1,10,1,1,2,2,7,7,0,2,1,4,6,4,0
133,0,5,3,9,1,3,1,0,0,2,0,2,2,2,7,7,0,2,1,4,2,3,3
134,0,2,2,8,1,0,1,1,1,7,1,1,2,2,7,7,0,2,1,4,3,4,0
135,1,5,3,8,1,6,1,0,1,10,0,3,2,2,7,7,0,2,1,4,3,4,5
136,0,2,0,8,1,3,1,1,1,10,1,1,2,2,7,7,0,2,1,4,3,4,0
137,0,5,3,9,1,0,1,0,0,5,0,2,2,2,7,7,0,2,1,4,3,3,1
138,1,5,2,4,1,6,1,0,1,7,0,3,2,2,7,7,0,2,1,4,3,4,1
139,0,0,2,9,1,3,1,0,0,10,0,2,2,2,7,7,0,2,1,4,3,2,1
140,0,5,3,4,1,0,1,0,0,10,0,4,2,3,7,7,0,2,1,4,2,5,4
141,0,0,3,9,1,3,1,0,0,2,0,2,2,2,7,7,0,2,1,4,2,2,3
142,0,4,0,4,0,5,1,0,1,4,0,3,2,2,7,7,0,2,1,4,3,4,5
143,0,2,3,4,1,0,1,0,0,10,0,4,2,3,7,7,0,2,1,4,2,5,4
144,0,5,3,9,1,0,1,0,0,4,0,2,2,2,7,7,0,2,1,4,2,2,1
145,0,5,0,3,0,5,1,1,0,4,1,3,0,0,7,7,0,2,1,0,2,3,1
146,0,2,0,8,0,5,1,1,0,4,1,3,2,0,7,7,0,2,1,0,3,0,1
147,0,5,3,9,1,3,1,0,0,10,0,2,2,2,7,7,0,2,1,4,3,2,3
148,0,0,2,9,1,3,1,0,0,4,0,2,2,2,7,7,0,2,1,4,2,2,1
149,0,0,3,8,1,0,1,0,0,2,0,2,2,2,7,7,0,2,1,4,2,2,3
150,0,5,3,8,1,0,1,0,0,10,0,2,2,2,7,7,0,2,1,4,3,3,1
151,0,5,2,4,0,5,1,1,0,7,1,3,0,2,7,7,0,2,1,0,3,0,1
152,0,5,3,8,1,3,1,0,0,2,0,2,2,2,7,7,0,2,1,4,3,3,1
153,0,4,0,4,0,5,1,0,1,4,0,3,2,2,7,7,0,2,1,4,2,4,5
154,0,5,2,8,1,0,1,1,1,10,1,1,2,2,7,7,0,2,1,4,6,4,0
155,0,5,3,4,1,3,1,0,0,10,0,4,2,3,7,7,0,2,1,4,2,3,1
156,0,0,3,9,1,0,1,0,0,4,0,2,2,2,7,7,0,2,1,4,3,2,1
157,0,5,3,8,1,0,1,0,0,4,0,2,2,2,7,7,0,2,1,4,3,2,1
158,0,0,3,8,1,0,1,0,0,5,0,2,2,2,7,7,0,2,1,4,2,3,3
159,0,0,2,9,1,0,1,0,0,2,0,2,2,2,7,7,0,2,1,4,2,3,1
160,0,0,2,9,1,3,1,0,0,2,0,2,2,2,7,7,0,2,1,4,2,3,3
161,0,0,3,9,1,0,1,0,0,5,0,2,2,2,7,7,0,2,1,4,2,2,1
162,0,5,0,4,0,5,1,0,1,4,0,3,2,2,7,7,0,2,1,4,3,5,5
163,0,2,3,4,1,3,1,0,0,5,0,4,2,3,7,7,0,2,1,4,3,5,1
164,0,5,3,8,1,0,1,0,0,4,0,2,2,2,7,7,0,2,1,4,3,3,1
165,0,2,3,9,1,3,1,0,0,10,0,4,2,3,7,7,0,2,1,4,3,5,4
166,0,0,2,8,1,0,1,0,0,10,0,2,2,2,7,7,0,2,1,4,3,3,1
167,0,0,2,8,1,0,1,0,0,10,0,2,2,2,7,7,0,2,1,4,2,3,3
168,0,5,3,4,1,3,1,0,0,10,0,4,2,3,7,7,0,2,1,4,2,5,1
169,0,0,2,8,1,0,1,0,0,4,0,2,2,2,7,7,0,2,1,4,2,3,1
170,0,5,0,3,0,5,1,0,1,2,0,3,2,2,7,7,0,2,1,4,3,5,5
171,0,0,2,9,1,3,1,0,0,4,0,2,2,2,7,7,0,2,1,4,3,3,1
172,0,5,0,9,1,3,1,1,1,5,1,1,2,2,7,7,0,2,1,4,6,4,0
173,0,0,3,9,1,0,1,0,0,10,0,2,2,2,7,7,0,2,1,4,2,3,1
174,0,2,3,9,1,3,1,0,0,7,0,4,2,3,7,7,0,2,1,4,3,3,1
175,0,0,3,8,1,3,1,0,0,10,0,2,2,2,7,7,0,2,1,4,2,2,3
176,0,0,3,8,1,0,1,0,0,4,0,2,2,2,7,7,0,2,1,4,2,2,3
177,0,0,3,9,1,0,1,0,0,2,0,2,2,2,7,7,0,2,1,4,3,3,1
178,0,5,3,9,1,3,1,0,0,2,0,2,2,2,7,7,0,2,1,4,3,2,3
179,0,0,2,9,1,3,1,0,0,2,0,2,2,2,7,7,0,2,1,4,3,2,1
180,1,5,3,8,1,6,1,0,1,7,0,3,2,2,7,7,0,2,1,4,3,4,5
181,0,4,0,4,0,5,1,0,1,2,0,3,2,2,7,7,0,2,1,4,3,5,5
182,0,2,0,4,0,5,1,0,1,2,0,3,2,2,7,7,0,2,1,4,2,4,5
183,0,5,2,9,1,0,1,0,0,2,0,2,2,2,7,7,0,2,1,4,3,3,3
184,0,2,3,4,1,0,1,0,0,7,0,4,2,3,7,7,0,2,1,4,2,3,4
185,1,5,3,8,1,6,1,0,1,4,0,3,2,2,7,7,0,2,1,4,2,3,1
186,0,0,2,8,1,3,1,0,0,2,0,2,2,2,7,7,0,2,1,4,3,3,3
187,0,2,0,3,0,5,1,0,1,7,0,3,2,2,7,7,0,2,1,4,2,4,5
188,0,0,3,9,1,3,1,0,0,2,0,2,2,2,7,7,0,2,1,4,3,2,1
189,0,5,3,4,1,0,1,0,0,10,0,4,2,3,7,7,0,2,1,4,3,5,4
190,0,5,0,8,0,5,1,1,0,7,1,3,2,0,7,7,0,2,1,0,2,3,1
191,0,5,2,8,1,3,1,1,1,10,1,1,2,2,7,7,0,2,1,4,3,4,0
192,0,0,2,8,1,3,1,0,0,10,0,2,2,2,7,7,0,2,1,4,3,3,3
193,0,2,2,9,1,0,1,1,1,10,1,1,2,2,7,7,0,2,1,4,3,4,0
194,0,5,2,9,1,0,1,0,0,4,0,2,2,2,7,7,0,2,1,4,3,2,3
195,0,2,0,3,0,5,1,0,1,2,0,3,2,2,7,7,0,2,1,4,3,5,5
196,0,0,2,9,1,0,1,0,0,5,0,2,2,2,7,7,0,2,1,4,2,3,1
197,0,5,2,8,1,3,1,0,0,2,0,2,2,2,7,7,0,2,1,4,3,2,3
198,0,5,3,8,1,3,1,0,0,5,0,2,2,2,7,7,0,2,1,4,3,3,3
199,0,2,2,8,1,0,1,1,1,5,1,1,2,2,7,7,0,2,1,4,3,4,0
200,0,5,3,9,1,3,1,0,0,10,0,2,2,2,7,7,0,2,1,4,3,3,1
201,0,0,2,8,1,3,1,0,0,10,0,2,2,2,7,7,0,2,1,4,2,3,1
202,0,5,2,8,1,0,1,0,0,2,0,2,2,2,7,7,0,2,1,4,2,2,1
203,0,5,0,8,0,5,1,1,0,3,1,3,0,2,7,7,0,2,1,0,2,3,1
204,0,2,3,4,1,3,1,0,0,5,0,4,2,3,7,7,0,2,1,4,2,5,4
205,1,5,2,8,1,6,1,0,1,4,0,3,2,2,7,7,0,2,1,4,3,4,5
206,0,0,2,8,1,0,1,0,0,5,0,2,2,2,7,7,0,2,1,4,3,2,1
207,0,0,2,8,1,0,1,0,0,4,0,2,2,2,7,7,0,2,1,4,2,3,3
208,0,0,3,8,1,3,1,0,0,5,0,2,2,2,7,7,0,2,1,4,3,2,1
209,0,0,3,8,1,0,1,0,0,10,0,2,2,2,7,7,0,2,1,4,2,2,1
210,0,5,2,9,1,0,1,0,0,10,0,2,2,2,7,7,0,2,1,4,2,3,1
211,0,0,2,8,1,3,1,0,0,10,0,2,2,2,7,7,0,2,1,4,2,2,3
212,0,5,0,9,1,0,1,1,1,5,1,1,2,2,7,7,0,2,1,4,3,4,0
213,0,5,0,3,0,5,1,0,1,5,0,3,2,2,7,7,0,2,1,4,3,5,5
214,0,2,3,9,1,0,1,0,0,5,0,4,2,3,7,7,0,2,1,4,3,3,1
215,0,0,2,8,1,3,1,0,0,5,0,2,2,2,7,7,0,2,1,4,2,2,3
216,0,5,2,9,1,0,1,0,0,2,0,2,2,2,7,7,0,2,1,4,2,3,1
217,0,5,3,9,1,0,1,0,0,4,0,2,2,2,7,7,0,2,1,4,2,3,1
218,0,5,3,8,1,3,1,0,0,10,0,2,2,2,7,7,0,2,1,4,3,3,1
219,0,4,0,3,0,5,1,0,1,7,0,3,2,2,7,7,0,2,1,4,3,4,5
220,0,5,2,8,1,0,1,0,0,5,0,2,2,2,7,7,0,2,1,4,3,2,3
221,1,5,2,8,1,6,1,0,1,4,0,3,2,2,7,7,0,2,1,4,2,3,1
222,0,5,3,9,1,0,1,0,0,5,0,4,2,3,7,7,0,2,1,4,3,3,1
223,0,2,0,8,1,0,1,1,1,7,1,1,2,2,7,7,0,2,1,4,3,4,0
224,0,5,3,8,1,3,1,0,0,2,0,2,2,2,7,7,0,2,1,4,2,2,3
225,0,0,3,8,1,3,1,0,0,5,0,2,2,2,7,7,0,2,1,4,2,3,1
226,0,5,2,8,1,0,1,0,0,2,0,2,2,2,7,7,0,2,1,4,3,2,1
227,0,5,2,9,1,0,1,0,0,2,0,2,2,2,7,7,0,2,1,4,3,3,1
228,1,5,3,4,1,6,1,0,1,7,0,3,2,2,7,7,0,2,1,4,2,4,5
229,0,0,2,9,1,0,1,0,0,5,0,2,2,2,7,7,0,2,1,4,3,2,1
230,0,5,0,3,0,5,1,0,1,5,0,3,2,2,7,7,0,2,1,4,2,5,5
231,1,5,3,8,1,6,1,0,1,4,0,3,2,2,7,7,0,2,1,4,2,3,5
232,0,5,3,9,1,3,1,0,0,5,0,4,2,3,7,7,0,2,1,4,3,5,4
233,0,2,0,4,0,5,1,0,1,4,0,3,2,2,7,7,0,2,1,4,2,4,5
234,0,0,2,8,1,3,1,0,0,4,0,2,2,2,7,7,0,2,1,4,3,2,1
235,0,5,0,8,1,3,1,1,1,10,1,1,2,2,7,7,0,2,1,4,3,4,0
236,0,5,3,8,1,3,1,0,0,10,0,2,2,2,7,7,0,2,1,4,2,3,1
237,0,0,3,9,1,3,1,0,0,5,0,2,2,2,7,7,0,2,1,4,3,3,1
238,0,5,3,9,1,3,1,0,0,5,0,4,2,3,7,7,0,2,1,4,2,3,1
239,0,2,3,9,1,0,1,0,0,7,0,4,2,3,7,7,0,2,1,4,2,3,4
240,0,2,3,9,1,0,1,0,0,10,0,4,2,3,7,7,0,2,1,4,2,5,4
241,0,5,2,8,1,3,1,0,0,10,0,2,2,2,7,7,0,2,1,4,2,3,1
242,0,5,2,8,1,0,1,0,0,10,0,2,2,2,7,7,0,2,1,4,3,2,3
243,1,5,2,8,1,6,1,0,1,5,0,3,2,2,7,7,0,2,1,4,2,4,5
244,0,2,0,8,1,0,1,1,1,7,1,1,2,2,7,7,0,2,1,4,6,4,0
245,0,5,2,8,1,3,1,0,0,10,0,2,2,2,7,7,0,2,1,4,3,3,1
246,0,5,2,8,1,3,1,1,1,7,1,1,2,2,7,7,0,2,1,4,6,4,0
247,0,5,3,8,1,0,1,0,0,5,0,2,2,2,7,7,0,2,1,4,2,3,3
248,0,2,3,9,1,3,1,0,0,10,0,4,2,3,7,7,0,2,1,4,2,5,4
249,0,5,2,4,0,5,1,1,0,7,1,3,0,2,7,7,0,2,1,0,2,3,1
250,0,2,3,9,1,0,1,0,0,10,0,4,2,3,7,7,0,2,1,4,3,5,1
251,1,5,2,4,1,6,1,0,1,7,0,3,2,2,7,7,0,2,1,4,3,3,1
252,0,4,0,4,0,5,1,0,1,2,0,3,2,2,7,7,0,2,1,4,3,4,5
253,0,0,3,9,1,3,1,0,0,10,0,2,2,2,7,7,0,2,1,4,3,3,3
254,0,0,2,8,1,3,1,0,0,5,0,2,2,2,7,7,0,2,1,4,3,3,1
255,0,0,3,8,1,3,1,0,0,4,0,2,2,2,7,7,0,2,1,4,3,2,3
256,0,2,0,4,0,5,1,0,1,4,0,3,2,2,7,7,0,2,1,4,3,4,5
257,0,5,2,8,1,0,1,0,0,10,0,2,2,2,7,7,0,2,1,4,2,2,3
258,0,0,3,8,1,3,1,0,0,2,0,2,2,2,7,7,0,2,1,4,2,2,1
259,0,0,3,8,1,0,1,0,0,2,0,2,2,2,7,7,0,2,1,4,3,2,3
260,0,2,3,4,1,3,1,0,0,10,0,4,2,3,7,7,0,2,1,4,3,3,1
261,1,5,3,8,1,6,1,0,1,4,0,3,2,2,7,7,0,2,1,4,2,4,1
262,0,5,2,8,1,0,1,0,0,5,0,2,2,2,7,7,0,2,1,4,3,2,1
263,0,5,3,8,1,0,1,0,0,5,0,2,2,2,7,7,0,2,1,4,3,3,3
264,0,2,0,8,1,3,1,1,1,10,1,1,2,2,7,7,0,2,1,4,6,4,0
265,0,2,0,3,0,5,1,0,1,2,0,3,2,2,7,7,0,2,1,4,2,4,5
266,0,2,2,3,0,5,1,1,0,7,1,3,2,2,7,7,0,2,1,0,2,0,1
267,0,5,3,9,1,0,1,0,0,2,0,2,2,2,7,7,0,2,1,4,3,3,3
268,0,0,2,8,1,0,1,0,0,4,0,2,2,2,7,7,0,2,1,4,3,3,3
269,1,2,3,4,1,6,1,0,1,10,0,3,2,2,7,7,0,2,1,4,2,3,5
270,0,5,2,8,1,3,1,0,0,5,0,2,2,2,7,7,0,2,1,4,2,2,3
271,1,2,2,4,1,6,1,0,1,10,0,3,2,2,7,7,0,2,1,4,2,4,5
272,0,5,3,8,1,3,1,0,0,4,0,2,2,2,7,7,0,2,1,4,3,3,1
273,0,5,3,9,1,0,1,0,0,4,0,2,2,2,7,7,0,2,1,4,3,2,3
274,0,2,3,9,1,0,1,0,0,5,0,4,2,3,7,7,0,2,1,4,3,3,4
275,0,5,3,4,1,0,1,0,0,10,0,4,2,3,7,7,0,2,1,4,3,3,4
276,0,2,3,4,1,0,1,0,0,10,0,4,2,3,7,7,0,2,1,4,3,5,1
277,0,5,3,8,1,0,1,0,0,10,0,2,2,2,7,7,0,2,1,4,3,2,3
278,0,2,0,4,0,5,1,1,0,3,1,3,2,2,7,7,0,2,1,0,2,3,1
279,0,5,2,9,1,3,1,0,0,4,0,2,2,2,7,7,0,2,1,4,3,2,3
280,1,5,3,8,1,6,1,0,1,10,0,3,2,2,7,7,0,2,1,4,3,3,1
281,0,0,3,9,1,0,1,0,0,5,0,2,2,2,7,7,0,2,1,4,3,2,3
282,0,4,0,4,0,5,1,0,1,7,0,3,2,2,7,7,0,2,1,4,3,4,5
283,0,5,2,9,1,3,1,0,0,4,0,2,2,2,7,7,0,2,1,4,2,3,3
284,0,0,3,8,1,3,1,0,0,5,0,2,2,2,7,7,0,2,1,4,2,2,3
